,User,Created_at,Tweet,Compound,Positive,Neutral,Negative
32,@BBC,2018-03-27 14:30:37,"RT @BBCWorld: It's 50 years since the death of Yuri Gagarin, the Russian cosmonaut who was the first man to travel into space 👨‍🚀 https://t…",-0.5994,0.0,0.86,0.14
33,@BBC,2018-03-27 13:33:01,❤️ The first polar bear cub to be born in the UK for 25 years has been filmed adapting to its surroundings. https://t.co/EsxbH18cN5,0.0,0.0,1.0,0.0
34,@BBC,2018-03-27 12:00:08,The ancient Greeks thought a life of ‘constant leisure’ was the highest life you could live. https://t.co/sascCq8iks,0.0,0.0,1.0,0.0
35,@BBC,2018-03-27 11:05:06,"There's over 50 classic cookery shows being served up on @BBCiPlayer this #EasterWeekend. 
👉 https://t.co/CKECZMGmx8 https://t.co/j3RfAYQvTI",0.0,0.0,1.0,0.0
36,@BBC,2018-03-27 11:00:06,"🎭 @MargotRobbie is planning a new TV series, which will give Shakespeare plays a 'female perspective'.
👉… https://t.co/pTLXfve0ds",0.25,0.125,0.875,0.0
37,@BBC,2018-03-27 09:52:08,"🚀🌎 'Mad' Mike Hughes flew his home-made rocket to try and 'prove' the earth is flat. 

🚨 SPOILER: it's not.  https://t.co/f5oNRItwyq",0.0,0.0,1.0,0.0
38,@BBC,2018-03-27 09:40:22,"RT @BBCTwo: Now we've got our country back... what actually is it? 🤔

#CunkOnBritain starts Tuesday 3 April, 10pm, @BBCTwo. @missdianemorga…",0.0,0.0,1.0,0.0
39,@BBC,2018-03-27 09:39:23,RT @BBCBreakfast: A team of abseilers have been roped in to give Cheddar Gorge in Somerset an extreme spring clean. https://t.co/iYmkiizeRi,0.4019,0.124,0.876,0.0
40,@BBC,2018-03-27 09:38:59,"RT @BBCR1: We can't get enough of @george_ezra's Live Lounge 😍

Watch him perform 'Paradise' and cover 'These Days' right here 👉https://t.c…",0.0,0.0,1.0,0.0
41,@BBC,2018-03-27 09:36:48,"RT @bbcgetinspired: Check out @JesseLingard and some of his @PremierLeague mates showing us their super moves. 🕺🏻 

Show us yours with #sup…",0.5994,0.157,0.843,0.0
42,@BBC,2018-03-27 08:00:04,"When this woman visited an uninhabited Caribbean island, the last thing she expected was to find it covered in plas… https://t.co/cpKW9tl61v",0.0,0.0,1.0,0.0
43,@BBC,2018-03-27 07:30:04,"About 700,000 people in the UK are on the autism spectrum, with five times as many males as females being diagnosed… https://t.co/PXJMuG76Tn",0.0,0.0,1.0,0.0
44,@BBC,2018-03-27 07:00:08,"The number of children living in relative poverty in the UK has risen to 4.1m. 

This is the story of Tyler, one of… https://t.co/xFtEAjBTXC",-0.4588,0.049,0.827,0.124
45,@BBC,2018-03-26 19:03:02,"Filmed in Nottingham during the worst winter for the NHS on record, groundbreaking series #Hospital returns tonight… https://t.co/PVSIcvCGc9",-0.6249,0.0,0.806,0.194
46,@BBC,2018-03-26 18:24:04,"Tonight, George Alagiah explores the fascinating history of Queen Elizabeth II and her beloved Commonwealth. 

The… https://t.co/xXer4FRyTq",0.7783,0.312,0.688,0.0
47,@BBC,2018-03-26 17:30:04,🐶😂 It was a Dachsh(und) to the finish line. https://t.co/7VvkU5GfUg,0.0,0.0,1.0,0.0
48,@BBC,2018-03-26 16:25:02,"✈️ Joy and Mary flew WW2 planes before any navigation system was installed.
#RAFat100 https://t.co/yxNMblfTEf",0.5859,0.213,0.787,0.0
49,@BBC,2018-03-26 15:45:04,"Tom Cruise stars in a remake of the 1953 adaptation of HG Wells’s classic novel. 🍿

War of the Worlds | @BBCiPlayer… https://t.co/h19JvTlFSA",-0.3818,0.095,0.744,0.161
50,@BBC,2018-03-26 15:11:57,"In her role as head of the Commonwealth, the Queen embarked on her first tour of the nations in 1953.

But by 1970… https://t.co/Av61bahNZF",0.0,0.0,1.0,0.0
51,@BBC,2018-03-26 12:58:02,"Never let a squirrel nibble your nobble... 🎈🐿😱
https://t.co/cHm9m6At3m",0.0,0.0,1.0,0.0
52,@BBC,2018-03-26 11:48:03,Apple wants to introduce new emojis to better represent people with disabilities. ❤️️ https://t.co/CcJfojmtTa https://t.co/ZRdEhVPMEm,0.4404,0.172,0.828,0.0
53,@BBC,2018-03-26 11:00:05,"A crack that opened up in Kenya’s Rift Valley, damaging a section of the Narok-Nairobi highway, is still growing... https://t.co/T5YocDauYj",-0.5106,0.0,0.837,0.163
54,@BBC,2018-03-26 10:00:07,"From hot cross bun gin to Creme Egg Yorkshire pudding, this year’s Easter treats are bigger, weirder and more decad… https://t.co/HvDJmgcB5q",-0.128,0.0,0.93,0.07
55,@BBC,2018-03-26 09:35:06,RT @bbcpress: Sue Perkins will return to host the 2018 #BAFTA TV awards on Sunday 13 May on @BBCOne. https://t.co/pieSWNAGbH,0.4588,0.136,0.864,0.0
56,@BBC,2018-03-26 09:33:01,"😂 @BillBailey is NOT a fan of taramasalata. #Room101 

https://t.co/soAAz27c0C",0.3182,0.247,0.753,0.0
57,@BBC,2018-03-26 09:04:01,"The kiwi bird's egg is so large, it takes almost ten days to lay! 🐦🥚😳  #DavidAttenboroughsNaturalCuriosities
https://t.co/AkZqK9vzZZ",0.0,0.0,1.0,0.0
58,@BBC,2018-03-26 08:29:04,"🤔Why do so many celebrities decide to enter politics?

Some have done so more successfully than others...… https://t.co/MkEDpSeLMJ",0.5819,0.182,0.818,0.0
59,@BBC,2018-03-26 07:30:10,"Wishing you could get out of bed just that little bit earlier? 😴

If you need some motivation to set that alarm, he… https://t.co/zsisa2oA4s",0.2263,0.161,0.749,0.09
60,@BBC,2018-03-25 19:44:01,"Could this be an answer to global water shortages? 🏜💧 This machine creates water out of thin air. 

https://t.co/caz4nXMJg5",0.128,0.101,0.821,0.077
61,@BBC,2018-03-25 19:15:06,"Tonight, @regyates meets people whose lives have been devastated by the Grenfell fire. 

Reggie Yates: Searching fo… https://t.co/HPgtcZuHte",-0.7506,0.0,0.714,0.286
62,@BBC,2018-03-25 18:40:04,"Tonight, @mcgregor_ewan and @McgColin celebrate the centenary of the Royal Air Force. 

RAF at 100 with Ewan and Co… https://t.co/nF2iwBP51b",0.5719,0.163,0.837,0.0
63,@BBC,2018-03-25 18:13:03,The first ever statue of David Bowie has been unveiled in the town where he debuted Ziggy Stardust. ⚡️… https://t.co/lFgROYVkv1,0.0,0.0,1.0,0.0
64,@BBC,2018-03-25 17:30:07,"When you're enjoying being single and people just can't deal with it. 🙄😂 @kathbum #LiveAtTheApollo 

https://t.co/byHMHWyhPq",0.5267,0.185,0.815,0.0
65,@BBC,2018-03-25 15:03:03,"🇺🇸🏝🇬🇧 Welcome to Tangier Island, the tiny US island where people speak with a British accent.… https://t.co/1RoM285gRJ",0.4588,0.167,0.833,0.0
66,@BBC,2018-03-25 14:30:02,"💬 We could listen to him speak all day. 

📽 Sir David Attenborough's voice was just as iconic in the 60s as it is t… https://t.co/zYi3oK5C13",0.0,0.0,1.0,0.0
67,@BBC,2018-03-25 14:09:03,"Predictions suggest a build-up of about 80,000 tonnes of plastic in the Pacific Ocean is growing rapidly. ♻️🌊💔… https://t.co/uKD9BQWmUi",0.1779,0.091,0.909,0.0
